,thetas,A_UR: quality demands,A_User's programming ability,A_UR: need for model transparency,A_UR: robustness of the model,A_UR: scalability of the model,A_UR: Availability of a well documented library,A_UR: Use of default hyperparameter values?,A_UR: Computer operating system,A_Hardware: access to high performance computing,A_Production application area,A_Number of maximum function evaluations/ trials budget,A_Running time per trial [s],A_Number of kernels used,A_Total Computing Time [s],A_Input Data,A_#Instances training dataset,A_Ratio training to test dataset,A_Feature datatypes,A_Number of features,A_Noise in dataset,A_Training technique,A_ML task,A_Detailed ML task,D_DT,D_RF,D_KNN,D_EN,D_LogReg,D_SVM,D_NB,D_XGB,D_MLP,D_DNN,D_CNN,D_LSTM,del_UR: quality demands,del_User's programming ability,del_UR: need for model transparency,del_UR: robustness of the model,del_UR: scalability of the model,del_UR: Availability of a well documented library,del_UR: Use of default hyperparameter values?,del_UR: Computer operating system,del_Hardware: access to high performance computing,del_Production application area,del_Number of maximum function evaluations/ trials budget,del_Running time per trial [s],del_Number of kernels used,del_Total Computing Time [s],del_Input Data,del_#Instances training dataset,del_Ratio training to test dataset,del_Feature datatypes,del_Number of features,del_Noise in dataset,del_Training technique,del_ML task,del_Detailed ML task,Antecedent_Importance
1,1,high,,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.30710382513661166,,,,,,,,,0.9213114754098349,,,,,,,,,,,,,,UR: quality demands_AI:_1
2,1,,,,,,,,,,Process Parameter Prediction,,,,1.0:43200,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,0.9213114754098349,,,,0.3838797814207645,,,,,,,,,,User's programming ability_AI:_1
3,1,,,,,,,,,,Process Parameter Prediction,,,,>43200,,,,,,,,,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,,,,,,,,,,0.9213114754098349,,,,0.9213114754098349,,,,,,,,,,UR: need for model transparency_AI:_1
4,1,,,,high,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,0.0000,0.3333,0.0000,0.0000,0.0000,0.0000,,,,4.606557377049175,,,,,,0.9213114754098349,,,,,,,,,,,,,,UR: robustness of the model_AI:_1
5,1,,low,,,,,,,,Process Parameter Prediction,,,,,,,,,,,,,,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,,1.1516393442622936,,,,,,,,0.9213114754098349,,,,,,,,,,,,,,UR: scalability of the model_AI:_1
6,1,,,,,,,,,,,,,,,,>100000,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,1.1516393442622936,,,,,,0.3543505674653211,,UR: Availability of a well documented library_AI:_1
7,1,,,,,,,,,,,,,,,,<100000,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,0.0000,0.5000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,1.535519125683058,,,,,,0.3543505674653211,,UR: Use of default hyperparameter values?_AI:_1
8,1,,,,,,,,,,,,,,,,>100000,,,,,,Regression,,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,1.1516393442622936,,,,,,0.46065573770491747,,UR: Computer operating system_AI:_1
9,1,,,,,,,,,,,,,,,,<100000,,,,,,Regression,,0.0000,0.0000,0.0000,0.5000,0.0000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,1.535519125683058,,,,,,0.46065573770491747,,Hardware: access to high performance computing_AI:_1
10,1,,,,,,,,,,,,,1,1.0:43200,,,,,,,,Regression,,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,0.6580796252927391,0.3838797814207645,,,,,,,,0.46065573770491747,,Production application area_AI:_1
11,1,high,,,,,,,,,,,,1,1.0:43200,,,,,,,,Regression,,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.30710382513661166,,,,,,,,,,,,0.6580796252927391,0.3838797814207645,,,,,,,,0.46065573770491747,,Number of maximum function evaluations/ trials budget_AI:_1
12,1,high,,,,,,,,,,,,>1,>43200,,,,,,,,Regression,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.30710382513661166,,,,,,,,,,,,0.5118397085610193,0.9213114754098349,,,,,,,,0.46065573770491747,,Running time per trial [s]_AI:_1
13,1,high,,,,,,,,yes,,,,1,1.0:43200,,,,,,,,Regression,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.30710382513661166,,,,,,,,0.2879098360655734,,,,0.6580796252927391,0.3838797814207645,,,,,,,,0.46065573770491747,,Number of kernels used_AI:_1
14,1,,,,,,,,,,,,,1,1.0:43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,0.5000,0.0000,0.0000,0.0000,,,,,,,,,,,,,0.6580796252927391,0.3838797814207645,,,,,,,,0.3543505674653211,,Total Computing Time [s]_AI:_1
15,1,high,,,,,,,,,,,,>1,>43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.30710382513661166,,,,,,,,,,,,0.5118397085610193,0.9213114754098349,,,,,,,,0.3543505674653211,,Input Data_AI:_1
16,1,high,,,,,,,,,,,,1,1.0:43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.30710382513661166,,,,,,,,,,,,0.6580796252927391,0.3838797814207645,,,,,,,,0.3543505674653211,,#Instances training dataset_AI:_1
17,1,,,,,yes,,,,,,,,1,1.0:43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,,,,,4.606557377049175,,,,,,,,0.6580796252927391,0.3838797814207645,,,,,,,,0.3543505674653211,,Ratio training to test dataset_AI:_1
18,1,,,,,,,,,,,,,,,,,,,<100,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,0.6580796252927391,,,0.3543505674653211,,Feature datatypes_AI:_1
19,1,high,,,,,,,,,,,,1,1.0:43200,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.30710382513661166,,,,,,,,,,,,0.6580796252927391,0.3838797814207645,,,,,,,,0.3543505674653211,,Number of features_AI:_1
20,1,high,,,,,,,,,,,,,,,,,,,,,"{'Binary Classification':1.0, 'Multiclass Classification':1.0}",Image Recognition,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.30710382513661166,,,,,,,,,,,,,,,,,,,,,0.3543505674653211,4.606557377049175,Noise in dataset_AI:_1
21,1,,,,,,,,, ,,,,,1.0:43200,,,,,,,,Regression,,0.5,0.0000,0.0000,0.5,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,4.606557377049175,,,,,0.3838797814207645,,,,,,,,0.46065573770491747,,Training technique_AI:_1
22,1,,,,,,,,,,,,,,>43200,,,,,,,,Regression,,0.0000,0.17,0.0000,0.0000,0.0000,0.0000,0.0000,0.17,0.17,0.17,0.17,0.17,,,,,,,,,,,,,,0.9213114754098349,,,,,,,,0.46065573770491747,,ML task_AI:_1
